Paimon: Hmm... Paimon: can't quite imagine an offering made of flour and meat...
Paimon: "Huh? Our messy chef dropped a piece of paper on the floor... Ew, and there's a huge footprint on it too..."
Paimon: "But footprint aside, maybe it has something to do with this mystery dish?"
Paimon: "Paimon:'s so curious, what kind of dish uses only flour and meat?"
Paimon: It's very clean here. Whoever cooked here last obviously likes to keep things neat and tidy...
Paimon: Paimon: bets they were making an offering to the adepti...
Paimon: Looks like we got us some Matsutake and some Raw Meat...
Paimon: "And what do you know, the recipe is right here. This chef was a super organized person..."
Paimon: What do you get if you cross Matsutake and Raw Meat? Hmm...
Cloud Retainer: One senses the presence of a Sigil of Permission...
Cloud Retainer: "One knows not why you have come, though the sincerity of your offering is clear... Hence, you shall be granted an opportunity."
Cloud Retainer: "Find your way through mine abode, and you shall receive an audience with the adeptus whom you seek."
Paimon: "Look, that platform is moving!"
Paimon: So that's what this button is for...
Paimon: There's no way for you to get up there...
Paimon: Where's a wind current when you need one...
Paimon: Paimon: thinks that you're doing this all wrong!
Paimon: Try activating the mechanisms again... but pay more attention this time!
Cloud Retainer: One is most impressed. The path that leads through this abode defies those of ordinary abilities.
Cloud Retainer: "The one before you is the adeptus, Cloud Retainer:. Now, speak of the matter which brings you here."
Traveller: Did you build this whole place?
Cloud Retainer: "You surmise correctly. This place did oneself build, as did one design the mechanisms within."
Traveller: Did you design all those mechanisms?
Cloud Retainer: You surmise correctly.
Cloud Retainer: "In fact, even Guizhong and Rex Lapis themselves found one's technological accomplishments to be worthy of commendation."
Paimon: This place is huge! And there are so many mechanisms... Do you really have this whole place to yourself?
Paimon: What's it even for? Did you build it as your private mechanism workshop or something?
Paimon: "It's just like the stories say. The adepti leave the human world, find somewhere to go be a hermit, and then they research and invent all these amazing things..."
Cloud Retainer: "One is simply not partial to the tedium of social interaction, and wished to find some peace and quiet."
Cloud Retainer: "Find it one did... Shortly after which, you arrived bearing your Sigil of Permission..."
Cloud Retainer: "But enough! State the matter which brings you here, at once! You have disturbed the tranquility of this place for long enough."
Cloud Retainer: Rex Lapis... Assassinated!?
Cloud Retainer: How can this be!? Such a heinous crime... Who would dare?
Cloud Retainer: The notion is so preposterous as to be unbelieveable... one shall have to verify the truth of the matter independently...
Cloud Retainer: "...Perhaps one shall squash Liyue first, then convene with the other adepti–"
Traveller: ...Excuse me!?
Paimon: "Wait, what!? Did you just say ""squash Liyue Harbor""? Are you seriously gonna wipe out the whole city?"
Cloud Retainer: Only a response of sufficient magnitude can negate the possibility of further incidents.
Traveller: But the adepti are sworn to protect the city...
Cloud Retainer: It is as you say. We have protected Liyue Harbor under the leadership of Rex Lapis for 37 centuries. But in the face of this coup by nefarious actors... exceptional measures must be taken.
Traveller: Aren't you supposed to protect the people there?
Cloud Retainer: "It is as you say. But if Rex Lapis has indeed been murdered, then Liyue is in great peril. To delay in quashing the threat is to invite further disaster."
Cloud Retainer: It is precisely because one does not wish to see further suffering that exceptional measures are deemed necessary at this exceptional time.
Paimon: "Yikes! Quick, you gotta think of something! She wants to squash Liyue flat, and it doesn't seem like she's bluffing!"
Traveller: "You accepted our offering, that makes this a contract."
Paimon: "Exactly what Paimon: was gonna say! We made all that delicious food, and gave every last bit of it to you!"
Paimon: We were hoping you might help Liyue out... not wipe Liyue out!
Paimon: "...Or at least let's... y'know, discuss it first? Can't hurt for you to get a second opinion."
Cloud Retainer: "Contract..." A cruel irony that you should appeal to the notion after the merciless murder of the God of Contracts himself.
Cloud Retainer: "The people of Liyue seem quite content to dispense with their contracts. They are quite adept at taking that which is composed of black and white, and turning it gray..."
Cloud Retainer: "Nevertheless... Since you come here in the name of contracts, far be it from one to abandon one's own contractual obligations."
Cloud Retainer: Least of all when you come bearing a Sigil of Permission... *sigh* Rex Lapis infused these sigils with adeptal power when he first cast them. That power once aided humans in battle.
Cloud Retainer: Most of the sigil's power has long since worn off... It is but a keepsake now.
Cloud Retainer: This keepsake cannot be taken as proof of your trustworthiness. One must investigate the claims that you make independently.
Cloud Retainer: "This, no doubt, is Moon Carver's very reason for summoning us."
Cloud Retainer: "Your audience with the adeptus before you is now concluded. Leave at once, and disturb me no further."
Childe:,You've finally returned. How was your journey to Jueyun Karst?
Childe:,...I see.
Childe:,"Moon Carver, Mountain Shaper, Cloud Retainer:  Conqueror of Demons..."
Childe:,Some of these names have never come up in the intel the Fatui gets hold of.
Childe:,"As a returning gift, I too have information for you."
Childe:,Regarding the archon's passing... The Liyue Qixing's response really has given me food for thought...
Childe:,"They've announced that, as the true killer has not yet been found, they are not allowing anyone to pay their respects to the Exuvia."
Childe:,"They've even gone so far as to try and cut off information... But with the Rite of Descension and all, even the Qixing isn't able to keep a lid on things."
Paimon: Exuvia?
Childe:,It's common knowledge in Liyue that Rex Lapis is also an adeptus.
Childe:,"The Geo Archon is also the God of Contracts, and is also known as the Exuvia, Prime of the Adepti."
Childe:,The mighty and illuminated adepti of today all signed contracts to protect Liyue back then.
Paimon: Guess that explains why they're all so focused on Liyue's well-being.
Childe:,Naturally. They both have the responsibility and the aptitude for the job.
Childe:,"If the ruling Qixing became unable to perform their duty properly, the adepti have the right to take corrective action."
Childe:,"The Geo Archon's spirit has risen, so why would the Qixing hide his vessel!? Truly suspicious."
Traveller: This makes things difficult for me too.
Traveller: "I agree, something is definitely not right."
Paimon: Oh! Right! He's the whole reason we came here!
Paimon: If the Liyue Qixing has locked up Exuvia and won't let anyone near...
Paimon: Then (Traveler's) quest to find The Seven is already over!
Childe:,"Oh? You're trying to find The Seven? And just why might that be, pray tell?"
Traveller: Nothing to do with you.
Traveller: No comment.
Childe:,Heh... nice answer.
Childe:,"A knight that gets duped by the Fatui would really be no knight at all now, would they?"
Childe:,"But, I can help you with that too you know."
Paimon: Hmm? Really?
Childe:,Give me some time.
Childe:,Time... to find someone.
Childe:,Someone who can help you break through this stalemate.
Childe:,"Truly fascinating. The harder they try to silence the situation, the greater the chaos that erupts..."
Childe:,"If you want to be around to see it all come crashing down, best you stay alive until we next meet, yes?"
Ekaterina,"Welcome,Traveler, friend ofChilde:. And congratulations on the first day of your illustrious career with the Fatui."
Traveller: I don't consider Childe: a friend.
Traveller: I have no intention of joining the Fatui.
Ekaterina,"You sound remarkably sure of yourself... Remember, we are mere mortals — our ideas are fluid like water. Only the Tsaritsa truly has a will as solid as the permafrost."
Ekaterina,But back to the matter at hand. Childe: tells me that he has upheld his end of your agreement.
Paimon: "What agreement? Oh, the thing about him helping us find a guy?"
Ekaterina,Correct. Childe: promised he would find someone to break the stalemate. And the Harbingers do not break their promises lightly.
Paimon: "Ah. Where is that guy, anyway?"
Ekaterina,Childe: is currently atLiuli Pavilion.
Traveller: Liuli Pavilion?
Paimon: "Ooh, ooh Paimon: knows this one!"
Paimon: "*clears throat* There are two styles of cooking in Liyue, known as Li style and Yue style. They have been competing for centuries, but neither has emerged as the clear winner."
Paimon: "The flagship restaurant of the Li style is the Liuli Pavilion. The owner especially chose to open the restaurant at Feiyun Slope, so they could compete face-to-face with the Xinyue Kiosk, which is the flagship restaurant of the Yue style."
Traveller: Trust you to only know these sorts of things...
Traveller: You're like this every time we talk about food...
Paimon: "Don't talk to Paimon: like that! Anyway, Paimon:'s hungry. Let's get moving."
Ekaterina,"Master Childe: awaits you at the Liuli Pavilion. If you please, do not keep him waiting."
Childe:,"Aha, you made it."
Childe:,"As promised, I have found someone who can help you. Someone who can solve the mystery of why the Liyue Qixing would hide the Geo Archon's vessel."
Paimon: So where is he? InLiuli Pavilion?
Childe:,"He certainly is. Come, I'll introduce you."
Childe:,"I took the liberty of setting up a business dinner, as per the Liyue custom."
Hongru,"Welcome back, sir. You honor us with your patronage."
Hongru,Mr. Zhongli: is awaiting your arrival in the room you booked.
Childe:,"Allow me to introduce Mr. Zhongli:  consultant to an organization known as Wangsheng... and a trusted associate of the Fatui."
